Sample,Area,Mean,Min,Max,MinThr,MaxThr
IHA_B1_HIF1_1_Compr_1_RAW_ch01,69259.689,6967.72,1952,65520,0,65535
IHA_B1_HIF1_1_Compr_2_RAW_ch01,75691.927,6955.475,1632,49040,0,65535
IHA_B1_HIF1_1_Compr_3_RAW_ch01,63472.713,6671.12,1856,65520,0,65535
IHA_B1_HIF1_1_Compr_4_RAW_ch01,63616.411,7088.796,1984,60528,0,65535
IHA_B1_HIF1_1_Compr_5_RAW_ch01,73446.672,6965.022,2096,65520,0,65535
IHA_B1_HIF1_1_Compr_6_RAW_ch01,91626.064,7075.746,1664,36608,0,65535
IHA_B1_HIF1_1_Compr_7_RAW_ch01,29258.361,7619.835,1856,36256,0,65535
IHA_B1_HIF1_1_Ctrl_1_RAW_ch01,56327.504,6238.213,1952,65520,0,65535
IHA_B1_HIF1_1_Ctrl_2_RAW_ch01,38823.726,7023.494,2032,46640,0,65535
IHA_B1_HIF1_1_Ctrl_3_RAW_ch01,47867.15,6954.777,2080,65520,0,65535
IHA_B1_HIF1_1_Ctrl_4_RAW_ch01,80171.188,6192.927,2256,36560,0,65535
IHA_B1_HIF1_1_Ctrl_5_RAW_ch01,66100.88,6040.498,1856,47552,0,65535
IHA_B1_HIF1_1_Ctrl_6_RAW_ch01,41238.15,6657.133,1872,65520,0,65535
IHA_B1_HIF1_2_Compr_1_RAW_ch01,65725.397,8229.352,1376,65520,0,65535
IHA_B1_HIF1_2_Compr_2_RAW_ch01,29517.315,7670.08,1472,65520,0,65535
IHA_B1_HIF1_2_Compr_3_RAW_ch01,16294.974,8659.755,1344,65520,0,65535
IHA_B1_HIF1_2_Compr_4_RAW_ch01,34826.076,7104.891,1312,65520,0,65535
IHA_B1_HIF1_2_Compr_5_RAW_ch01,69599.725,8385.687,1536,65520,0,65535
IHA_B1_HIF1_2_Compr_6_RAW_ch01,60219.873,7716.446,1632,49456,0,65535
IHA_B1_HIF1_2_Compr_7_RAW_ch01,66025.953,7483.981,1808,65520,0,65535
IHA_B1_HIF1_2_Ctrl_1_RAW_ch01,38192.261,7177.289,1664,65520,0,65535
IHA_B1_HIF1_2_Ctrl_2_RAW_ch01,76467.939,6510.164,2016,65520,0,65535
IHA_B1_HIF1_2_Ctrl_3_RAW_ch01,76312.354,8462.039,1616,56720,0,65535
IHA_B1_HIF1_2_Ctrl_4_RAW_ch01,89464.014,6706.684,1680,36160,0,65535
IHA_B1_HIF1_2_Ctrl_5_RAW_ch01,28204.505,7082.298,1984,65520,0,65535
IHA_B1_HIF1_2_Ctrl_6_RAW_ch01,40623.878,6911.693,1808,64112,0,65535
IHA_B1_HIF1_2_Ctrl_7_RAW_ch01,52672.862,6986.406,1696,51808,0,65535
IHA_B1_HIF1_3_Compr_1_RAW_ch01,28186.251,7312.613,1536,62096,0,65535
IHA_B1_HIF1_3_Compr_2_RAW_ch01,13173.097,7703.531,2160,65520,0,65535
IHA_B1_HIF1_3_Compr_3_RAW_ch01,56818.03,6835.595,2144,42016,0,65535
IHA_B1_HIF1_3_Compr_4_RAW_ch01,69155.895,6805.386,1568,65520,0,65535
IHA_B1_HIF1_3_Compr_5_RAW_ch01,55015.755,7080.176,2000,58832,0,65535
IHA_B1_HIF1_3_Compr_6_RAW_ch01,33618.546,7634.357,1632,64992,0,65535
IHA_B1_HIF1_3_Compr_7_RAW_ch01,46171.428,7310.96,1920,65520,0,65535
IHA_B1_HIF1_3_Ctrl_1_RAW_ch01,44490.777,7698.631,1952,65520,0,65535
IHA_B1_HIF1_3_Ctrl_2_RAW_ch01,63652.282,8441.634,1520,65520,0,65535
IHA_B1_HIF1_3_Ctrl_3_RAW_ch01,63220.127,7813.482,1696,65520,0,65535
IHA_B1_HIF1_3_Ctrl_4_RAW_ch01,26613.426,7633.26,1456,65520,0,65535
IHA_B1_HIF1_3_Ctrl_5_RAW_ch01,139494.487,8414.912,1936,54976,0,65535
IHA_B1_HIF1_3_Ctrl_6_RAW_ch01,67109.313,8026.423,1968,65520,0,65535
IHA_B1_HIF1_3_Ctrl_7_RAW_ch01,29116.998,8487.704,1696,65520,0,65535
IHA_B2_HIF1_4_Compr_1_RAW_ch01,109906.066,7584.801,1808,65520,0,65535
IHA_B2_HIF1_4_Compr_2_RAW_ch01,118014.922,7580.39,1680,36224,0,65535
IHA_B2_HIF1_4_Compr_3_RAW_ch01,94545.023,7997.02,1616,65520,0,65535
IHA_B2_HIF1_4_Compr_4_RAW_ch01,54879.061,8603.964,1984,65520,0,65535
IHA_B2_HIF1_4_Compr_5_RAW_ch01,40429.238,10720.573,1936,57424,0,65535
IHA_B2_HIF1_4_Compr_6_RAW_ch01,59062.648,7855.661,1888,65520,0,65535
IHA_B2_HIF1_4_Compr_7_RAW_ch01,10457.693,9438.927,2000,55936,0,65535
IHA_B2_HIF1_4_Ctrl_1_RAW_ch01,29619.835,7064.88,1968,45680,0,65535
IHA_B2_HIF1_4_Ctrl_2_RAW_ch01,73710.72,7552.571,1664,65520,0,65535
IHA_B2_HIF1_4_Ctrl_3_RAW_ch01,60881.479,7571.338,1680,65520,0,65535
IHA_B2_HIF1_4_Ctrl_4_RAW_ch01,27513.396,6748.853,1664,44944,0,65535
IHA_B2_HIF1_4_Ctrl_5_RAW_ch01,75790.202,8565.834,1520,65520,0,65535
IHA_B2_HIF1_4_Ctrl_6_RAW_ch01,43156.953,9215.947,1488,65520,0,65535