Sample,Target,EqCq Mean,Adjusted EqCq Mean,Delta EqCq Mean,Delta EqCq SE,Delta Delta EqCq,RQ,RQ Min,RQ Max
C1_10,FOSB,29.491864707656223,29.491864707656223,11.71709309833895,0.06268349548203496,0,1,0.8863587923424041,1.1282112939358035
C1_10,GAPDH,17.774771609317273,17.774771609317273,,,,,,
C1_10,IL1b,26.688269590309154,26.688269590309154,8.913497980991881,0.048856396384796365,0,1,0.9102614557633422,1.0985854598900966
C1_10,JUN,26.47787804254204,26.47787804254204,8.703106433224768,0.048275521236353654,0,1,0.9112795928805001,1.097358053239248
C1_10,JUNB,22.998420006842373,22.998420006842373,5.2236483975251,0.044665866967247156,0,1,0.9176320411925365,1.0897614240893547
C1_10,MMP9,31.576997068305584,31.576997068305584,13.80222545898831,0.17760879770208882,0,1,0.7104863921056614,1.4074864925087585
C1_10,TNF,32.74243243994958,32.74243243994958,14.967660830632308,0.04155904221188475,0,1,0.9124014089968385,1.096008829161579
C1_11,FOSB,29.548348148092845,29.548348148092845,11.516681772077835,0.038362133674007884,-0.2004113262611149,1.149025906661258,1.0672520753419865,1.2370653238183362
C1_11,GAPDH,18.03166637601501,18.03166637601501,,,,,,
C1_11,IL1b,26.577463617686632,26.577463617686632,8.545797241671622,0.04258769277271943,-0.3677007393202594,1.2902948146482383,1.1887607176231012,1.4005011134932022
C1_11,JUN,26.00336218115555,26.00336218115555,7.971695805140538,0.04628132202705751,-0.7314106280842303,1.6602616570703677,1.5187801810411037,1.8149227941916652
C1_11,JUNB,22.922503109599564,22.922503109599564,4.890836733584553,0.04098885224768873,-0.3328116639405465,1.25946555277745,1.1639332836836236,1.3628388335221608
C1_11,MMP9,31.268153441523275,31.268153441523275,13.236487065508264,0.06854217225662863,-0.5657383934800464,1.4801448762972549,1.2972304689044947,1.6888509076410771
C1_11,TNF,32.26311484423106,32.26311484423106,14.231448468216051,0.03204590549882297,-0.7362123624162571,1.6657967263449083,1.5661676621103986,1.7717635222797834
C2_10,FOSB,29.75617534429432,29.75617534429432,11.768466457587628,0.0851893345777569,0.051373359248678696,0.965017252929923,0.8190952480574423,1.1369352961831698
C2_10,GAPDH,17.98770888670669,17.98770888670669,,,,,,
C2_10,IL1b,26.332349215434615,26.332349215434615,8.344640328727923,0.03818158365318278,-0.5688576522639579,1.4833485676849623,1.378260489372602,1.5964492853267804
C2_10,JUN,26.027045725610474,26.027045725610474,8.039336838903782,0.038213346476883056,-0.6637695943209856,1.5842165942602666,1.4718925284272646,1.7051124107622784
C2_10,JUNB,22.906473862244486,22.906473862244486,4.918764975537794,0.038501851331949354,-0.3048834219873058,1.235318812266713,1.1470952131249843,1.3303277273582106
C2_10,MMP9,31.321879753954168,31.321879753954168,13.334170867247476,0.1269602799266154,-0.4680545917408345,1.3832429700885245,1.0833927518642459,1.7660826242439873
C2_10,TNF,31.780156531757203,31.780156531757203,13.792447645050512,0.037708866474863385,-1.1752131855817964,2.2582624861134786,2.0780159715870874,2.4541435320598084
C2_11,FOSB,30.199322155263097,30.199322155263097,12.36304177724125,0.06963794779578543,0.6459486789023003,0.6390724149675955,0.5589167753298095,0.7307233734960182
C2_11,GAPDH,17.836280378021847,17.836280378021847,,,,,,
C2_11,IL1b,26.878621301532,26.878621301532,9.042340923510153,0.03970121517413432,0.128842942518272,0.9145646472012959,0.84729062596496,0.9871801578801154
C2_11,JUN,25.677991174887627,25.677991174887627,7.8417107968657795,0.03936622117315915,-0.8613956363589885,1.8167949945042638,1.684239709055206,1.9597828232581802
C2_11,JUNB,23.014187328073128,23.014187328073128,5.17790695005128,0.04074005979243082,-0.04574144747381936,1.0322135308049267,0.9543754967126716,1.1163999671478853
C2_11,MMP9,30.73529680433716,30.73529680433716,12.899016426315313,0.07497321255866822,-0.9032090326729971,1.870221353007627,1.6189405668731047,2.16050420924429
C2_11,TNF,32.02418737053782,32.02418737053782,14.18790699251597,0.07667451671632063,-0.7797538381163385,1.716837909983831,1.481307597772503,1.9898179241029765
C3_10,FOSB,29.410852034532812,29.410852034532812,11.65398691614147,0.07113651878572265,-0.06310618219747965,1.0447126507717492,0.9110483605949532,1.197987472333289
C3_10,GAPDH,17.756865118391342,17.756865118391342,,,,,,
C3_10,IL1b,26.66394112296557,26.66394112296557,8.907076004574229,0.0771523572926838,-0.0064219764176520755,1.0044612969333795,0.8658642075549169,1.165243335194792
C3_10,JUN,26.508863442017148,26.508863442017148,8.751998323625806,0.07240037253124057,0.048891890401037585,0.9666785332417261,0.8409503026629076,1.111204055306647
C3_10,JUNB,23.12483121433417,23.12483121433417,5.367966095942826,0.07076860253923067,0.14431769841772635,0.9048071917563545,0.7896017878231939,1.0368214293320936
C3_10,MMP9,31.61128839213391,31.61128839213391,13.854423273742569,0.09514500028542602,0.05219781475425833,0.9644659330226648,0.8030920787436789,1.1582663564761264
C3_10,TNF,32.82034904440942,32.82034904440942,15.063483926018076,0.07435127914307324,0.09582309538576794,0.9357382318933772,0.8109836081114292,1.0796840156436744
E1_10,FOSB,27.587928131601533,27.587928131601533,9.31627086823762,0.008042142027901997,-2.40082223010133,5.281040590426754,5.19993526953501,5.363410941119058
E1_10,GAPDH,18.271657263363913,18.271657263363913,,,,,,
E1_10,IL1b,26.664708777068572,26.664708777068572,8.393051513704659,0.01835075992857197,-0.520446467287222,1.434399079292982,1.3846262358962698,1.485961095735509
E1_10,JUN,26.9223987437079,26.9223987437079,8.650741480343989,0.013321200528134392,-0.05236495288077947,1.036963384386002,1.010717189592868,1.0638911375301885
E1_10,JUNB,22.850591469081298,22.850591469081298,4.578934205717385,0.014054431784644453,-0.644714191807715,1.5634295290188902,1.5217093567565187,1.606293528626394
E1_10,MMP9,31.518568326460876,31.518568326460876,13.246911063096963,0.06599709618546605,-0.5553143958913473,1.469488833252563,1.2942148007793186,1.6685000277803081
E1_10,TNF,33.43118240754915,33.43118240754915,15.159525144185238,0.0895753896603652,0.1918643135529301,0.8754736647143071,0.7368457446423556,1.0401826205569176
E1_11,FOSB,28.781694181669575,28.781694181669575,10.942218430725092,0.03246926613436351,-0.774874667613858,1.711041400256919,1.6073961512087043,1.8213697172235113
E1_11,GAPDH,17.839475750944484,17.839475750944484,,,,,,
E1_11,IL1b,26.05776698587289,26.05776698587289,8.218291234928408,0.02879233871909353,-0.695206746063473,1.6191164446824649,1.531840830195014,1.7113645293730977
E1_11,JUN,26.183089563742822,26.183089563742822,8.343613812798338,0.04771088362339175,-0.3594926204264297,1.2829746105115625,1.170419710968054,1.406353495068764
E1_11,JUNB,22.447072076651477,22.447072076651477,4.607596325706993,0.038620153977376975,-0.6160520718181068,1.5326752787233338,1.4228911827918924,1.6509298380782922
E1_11,MMP9,31.554387039969438,31.554387039969438,13.714911289024954,0.03316675661799885,-0.08731416996335639,1.0623905138653142,0.996698105205745,1.132412711588348
E1_11,TNF,33.838600162670694,33.838600162670694,15.99912441172621,0.25028662299246784,1.0314635810939023,0.48921360096837213,0.30221126630152917,0.791929269551625
E2_10,FOSB,29.485433295172307,29.485433295172307,11.628650916389226,0.030396666099992815,-0.08844218194972342,1.0632214988061897,1.0028094573166157,1.1272729303417086
E2_10,GAPDH,17.85678237878308,17.85678237878308,,,,,,
E2_10,IL1b,26.032493118621783,26.032493118621783,8.175710739838703,0.017767589254190887,-0.7377872411531783,1.6676161408350807,1.6115584389876012,1.7256237973726272
E2_10,JUN,26.388178943400288,26.388178943400288,8.531396564617207,0.022036609117092227,-0.17170986860756088,1.1263926839183482,1.0796221140124829,1.17518941295983
E2_10,JUNB,23.492043071826203,23.492043071826203,5.635260693043122,0.027408919513320307,0.41161229551802236,0.7517827431778249,0.7131553791505619,0.792502320620728
E2_10,MMP9,31.35792464384487,31.35792464384487,13.501142265061791,0.1080336137093338,-0.3010831939265195,1.232069119446164,1.0007861963674893,1.5168018110188217
E2_10,TNF,32.17378029807095,32.17378029807095,14.316997919287871,0.034061767722502766,-0.6506629113444369,1.5698893866157575,1.4562551628173497,1.6923906943895346
E2_11,FOSB,28.200668299415693,28.200668299415693,10.393019180911434,0.05010217792570964,-1.3240739174275156,2.503721193820795,2.2735834701599824,2.7571540252033637
E2_11,GAPDH,17.80764911850426,17.80764911850426,,,,,,
E2_11,IL1b,26.377124200686684,26.377124200686684,8.569475082182425,0.035603327687975,-0.344022898809456,1.2692910323584323,1.1852342434334409,1.3593091270789033
E2_11,JUN,25.737709953616207,25.737709953616207,7.930060835111949,0.031553094495243135,-0.7730455981128195,1.7088734919290014,1.608192562958997,1.8158575525585703
E2_11,JUNB,22.566726481795325,22.566726481795325,4.759077363291066,0.03639435700094959,-0.4645710342340337,1.3799069957985541,1.2865647796893709,1.4800213305338021
E2_11,MMP9,31.199847142282493,31.199847142282493,13.392198023778235,0.10825628152175734,-0.41002743521007545,1.3287110814745837,1.0788242171645361,1.636478964732118
E2_11,TNF,32.153276378034185,32.153276378034185,14.345627259529927,0.18749625321202473,-0.6220335711023814,1.539043032836877,1.0728590250172192,2.207795620571599
E3_10,FOSB,26.394681567544144,26.394681567544144,8.295075515650563,0.03030049363342793,-3.4220175826883867,10.718399447950416,10.111253291234322,11.36200265356021
E3_10,GAPDH,18.09960605189358,18.09960605189358,,,,,,
E3_10,IL1b,26.04503771275237,26.04503771275237,7.945431660858791,0.03015322064603121,-0.9680663201330901,1.9562168713608068,1.845929632871884,2.073093350716181
E3_10,JUN,26.060935299621523,26.060935299621523,7.961329247727942,0.04298711305701764,-0.7417771854968258,1.6722345145591655,1.5394615405799683,1.8164586759533072
E3_10,JUNB,22.59734215621498,22.59734215621498,4.497736104321401,0.028549855728812735,-0.7259122932036988,1.6539461842912178,1.5655235229502178,1.7473630644504001
E3_10,MMP9,31.3895859899941,31.3895859899941,13.289979938100519,0.06675080824803178,-0.5122455208877916,1.4262684220826787,1.2543287926052649,1.6217770203656534
E3_10,TNF,33.342403386210684,33.342403386210684,15.242797334317103,0.18261040470809245,0.27513650368479503,0.8263721254844839,0.5815018683011081,1.1743571723558681