Sample,Target,EqCq Mean,Adjusted EqCq Mean,Delta EqCq Mean,Delta EqCq SD,Delta Delta EqCq,RQ,RQ Min,RQ Max
IHA-C1-0110,COL4A1,20.56556809,20.56556809,3.440147859,0.045673523,0,1,0.968837409,1.032164934
IHA-C1-0110,FOS,31.91145687,31.91145687,14.78603664,0.104877973,0,1,0.929883591,1.075403426
IHA-C1-0110,FOSL1,19.7159383,19.7159383,2.590518067,0.074149841,0,1,0.949901719,1.052740488
IHA-C1-0110,FOSL2,22.61206735,22.61206735,5.486647121,0.092907665,0,1,0.937631105,1.06651752
IHA-C1-0110,GAPDH,17.12542023,17.12542023,,,,,,
IHA-C1-0111,COL4A1,19.87390428,19.87390428,3.057555121,0.086487882,-0.382592738,1.303682663,1.22782492,1.384227066
IHA-C1-0111,FOS,31.86751005,31.86751005,15.05116089,0.100344447,0.265124254,0.832127064,0.776216657,0.892064662
IHA-C1-0111,FOSL1,20.06879914,20.06879914,3.252449985,0.103769277,0.661931918,0.632031375,0.588167431,0.679166573
IHA-C1-0111,FOSL2,22.19049793,22.19049793,5.374148775,0.087539437,-0.112498346,1.081098779,1.017450713,1.148728439
IHA-C1-0111,GAPDH,16.81634916,16.81634916,,,,,,
IHA-C2-0110,COL4A1,20.39078582,20.39078582,3.419180615,0.039885293,-0.020967244,1.014639509,0.986972608,1.043081971
IHA-C2-0110,FOS,31.86063063,31.86063063,14.88902543,0.048214953,0.102988787,0.931102057,0.900498801,0.962745357
IHA-C2-0110,FOSL1,19.64695503,19.64695503,2.67534983,0.053777043,0.084831763,0.942894483,0.9083947,0.978704529
IHA-C2-0110,FOSL2,22.20584919,22.20584919,5.234243994,0.030335832,-0.252403127,1.191189653,1.166403776,1.216502225
IHA-C2-0110,GAPDH,16.9716052,16.9716052,,,,,,
IHA-C2-0111,COL4A1,19.76284951,19.76284951,3.151057904,0.057310651,-0.289089955,1.221869285,1.174282322,1.271384676
IHA-C2-0111,FOS,32.20462387,32.20462387,15.59283226,0.051549049,0.80679562,0.571650145,0.551585077,0.592445122
IHA-C2-0111,FOSL1,20.08053037,20.08053037,3.468738759,0.088972823,0.878220692,0.544037992,0.51150012,0.578645683
IHA-C2-0111,FOSL2,22.11284403,22.11284403,5.501052418,0.036323622,0.014405297,0.990064694,0.965448415,1.01530862
IHA-C2-0111,GAPDH,16.61179161,16.61179161,,,,,,
IHA-C3-0110,COL4A1,20.30343192,20.30343192,3.7148677,0.254165394,0.274719841,0.826610823,0.693090075,0.985853754
IHA-C3-0110,FOS,31.8835217,31.8835217,15.29495748,0.008974839,0.508920843,0.702747907,0.698389764,0.707133247
IHA-C3-0110,FOSL1,19.63735094,19.63735094,3.048786714,0.018676593,0.458268647,0.727859226,0.71849736,0.737343075
IHA-C3-0110,FOSL2,22.27774169,22.27774169,5.68917747,0.044921695,0.202530349,0.869025039,0.842382842,0.896509854
IHA-C3-0110,GAPDH,16.58856422,16.58856422,,,,,,
IHA-E1-0110,COL4A1,20.50026096,20.50026096,3.709186972,0.069366986,0.269039113,0.829872086,0.790914638,0.87074843
IHA-E1-0110,FOS,32.50780858,32.50780858,15.71673459,0.041568053,0.93069795,0.524604486,0.509704854,0.539939663
IHA-E1-0110,FOSL1,20.08652289,20.08652289,3.295448897,0.09925835,0.704930829,0.613471901,0.572683848,0.657164986
IHA-E1-0110,FOSL2,22.2594682,22.2594682,5.46839421,0.055767471,-0.018252911,1.012732328,0.974332058,1.052646026
IHA-E1-0110,GAPDH,16.79107399,16.79107399,,,,,,
IHA-E1-0111,COL4A1,20.28415323,20.28415323,3.584875677,0.147220843,0.144727818,0.904550016,0.816798056,1.001729527
IHA-E1-0111,FOS,29.70398243,29.70398243,13.00470488,0.17934413,-1.781331761,3.437433399,3.035612481,3.89244294
IHA-E1-0111,FOSL1,20.37785461,20.37785461,3.678577058,0.152163634,1.088058991,0.470393819,0.42330733,0.522717963
IHA-E1-0111,FOSL2,22.3595482,22.3595482,5.660270651,0.148445716,0.17362353,0.88661303,0.799921733,0.982699472
IHA-E1-0111,GAPDH,16.69927755,16.69927755,,,,,,
IHA-E2-0110,COL4A1,20.3701166,20.3701166,3.619189687,0.076879369,0.179041828,0.883289442,0.83745223,0.931635514
IHA-E2-0110,FOS,30.88572387,30.88572387,14.13479696,0.048163582,-0.651239675,1.570517126,1.518951803,1.623832986
IHA-E2-0110,FOSL1,20.21418442,20.21418442,3.463257508,0.059443557,0.872739441,0.546108894,0.524064759,0.569080289
IHA-E2-0110,FOSL2,21.99741782,21.99741782,5.246490911,0.027216518,-0.24015621,1.181120542,1.1590475,1.203613946
IHA-E2-0110,GAPDH,16.75092691,16.75092691,,,,,,
IHA-E2-0111,COL4A1,19.73809234,19.73809234,3.148513782,0.015636854,-0.291634077,1.224025893,1.210830753,1.237364827
IHA-E2-0111,FOS,29.54197529,29.54197529,12.95239673,0.050791275,-1.833639911,3.56435223,3.441049477,3.692073277
IHA-E2-0111,FOSL1,20.37415828,20.37415828,3.78457972,0.046598026,1.194061653,0.437070632,0.423179111,0.451418163
IHA-E2-0111,FOSL2,21.8576144,21.8576144,5.268035841,0.021672809,-0.21861128,1.163612968,1.146263298,1.18122524
IHA-E2-0111,GAPDH,16.58957856,16.58957856,,,,,,
IHA-E3-0110,COL4A1,20.58000004,20.58000004,3.73243199,0.041682525,0.292284131,0.816608149,0.793352179,0.840545833
IHA-E3-0110,FOS,30.92962444,30.92962444,14.08205639,0.028784598,-0.703980252,1.628992828,1.596813313,1.661820836
IHA-E3-0110,FOSL1,20.09630855,20.09630855,3.248740503,0.06339608,0.658222436,0.633658556,0.60641674,0.662124145
IHA-E3-0110,FOSL2,22.42617077,22.42617077,5.578602715,0.018343772,0.091955594,0.938250075,0.926395811,0.950256029
IHA-E3-0110,GAPDH,16.84756805,16.84756805,,,,,,