Series,Sample,Group,GFAP_pct_area,NeuN_number,DAPI_number,NeuN_freq
1,179041_E,E,3.056,312,540,0.577777778
2,179041_E,E,1.626,335,471,0.711252654
3,179041_E,E,2.445,131,512,0.255859375
4,179041_E,E,3.124,98,458,0.213973799
5,179041_E,E,1.028,161,450,0.357777778
6,179041_E,E,1.361,248,467,0.531049251
7,179041_E,E,0.406,229,419,0.546539379
8,179041_E,E,0.154,316,460,0.686956522
1,178991_E,E,5.477,99,419,0.23627685
2,178991_E,E,8.142,79,541,0.146025878
3,178991_E,E,3.905,30,380,0.078947368
4,178991_E,E,0.895,415,456,0.910087719
5,178991_E,E,0.063,380,431,0.881670534
6,178991_E,E,0.048,382,401,0.952618454
7,178991_E,E,0.289,568,579,0.981001727
1,179041_E_reimage,E,11.217,126,604,0.208609272
2,179041_E_reimage,E,2.663,195,499,0.390781563
3,179041_E_reimage,E,11.921,9,527,0.017077799
4,179041_E_reimage,E,8.516,191,534,0.357677903
5,179041_E_reimage,E,5.231,87,464,0.1875
6,179041_E_reimage,E,0.372,173,448,0.386160714
7,179041_E_reimage,E,0.324,355,645,0.550387597
8,179041_E_reimage,E,0.433,189,462,0.409090909
9,179041_E_reimage,E,0.278,191,402,0.475124378
1,179042_E,E,3.984,279,660,0.422727273
2,179042_E,E,5.766,330,613,0.538336052
3,179042_E,E,3.778,111,499,0.22244489
4,179042_E,E,4.994,228,510,0.447058824
5,179042_E,E,2.38,238,532,0.447368421
6,179042_E,E,2.72,218,448,0.486607143
7,179042_E,E,3.054,291,485,0.6
8,179042_E,E,0.994,411,619,0.663974152
1,178993_C,C,0.119,408,564,0.723404255
2,178993_C,C,0.072,485,645,0.751937984
3,178993_C,C,0.051,501,673,0.744427935
4,178993_C,C,0.06,499,605,0.824793388
5,178993_C,C,0.07,457,613,0.745513866
6,178993_C,C,0.086,430,582,0.738831615
7,178993_C,C,0.096,498,646,0.770897833
1,178992_C,C,0.189,629,795,0.791194969
2,178992_C,C,0.099,551,554,0.994584838
3,178992_C,C,0.023,444,573,0.77486911
4,178992_C,C,0.113,569,664,0.856927711
5,178992_C,C,0.277,780,693,1.125541126
1,176130_C,C,0.04,304,719,0.422809458
2,176130_C,C,0.062,273,587,0.465076661
3,176130_C,C,0.139,234,572,0.409090909
4,176130_C,C,0.045,225,496,0.453629032
5,176130_C,C,0.028,237,477,0.496855346
6,176130_C,C,0.006,286,570,0.501754386
7,176130_C,C,0.165,311,605,0.514049587